"rank"	"price_usd"	"24h_volume_usd"	"market_cap_usd"	"available_supply"	"total_supply"	"percent_change_1h"	"percent_change_24h"	"percent_change_7d"	"price_btc"
32	33.616	1088850	207456483	6171361	6591361	-0.19	-1.98	6.84	0.00449827
32	33.4917	1061690	206694762	6171522	6591522	0.46	-1.82	6.36	0.00448703
32	33.5641	967200	207148463	6171727	6591727	0.33	-1.18	6.5	0.00449962
32	33.3185	953906	205635001	6171796	6591796	-0.68	-1.32	5.54	0.00450374
32	33.3498	937259	205834970	6172000	6592000	-0.62	-0.98	5.39	0.00449364
32	32.8828	917633	202957213	6172139	6592139	-1.23	-2.34	3.49	0.00442954
32	33.3159	898436	205640390	6172440	6592440	0	-1.46	4.46	0.00444623
32	32.9287	881862	203251184	6172463	6592463	-0.69	-2.94	2.87	0.00441264
32	32.6579	865211	201586332	6172667	6592667	-1.87	-4.05	1.67	0.00438968
33	32.4401	870721	200244884	6172758	6592758	-1.97	-5.08	0.64	0.00434953
33	32.5498	823422	200926450	6172894	6592894	-0.46	-5.02	0.66	0.00435515
32	33.8043	850546	208671127	6172917	6592917	4.27	-1.46	4.25	0.00443643
33	33.8961	879403	209242508	6173056	6593056	4.11	-1.7	4.27	0.00440776
33	34.1285	902578	210678706	6173102	6593102	0.94	-1.43	4.75	0.00440741
33	33.7226	936400	208182254	6173375	6593375	-1.22	-2.95	3.23	0.00433762
33	33.0793	933320	204216281	6173537	6593537	-2.69	-4.92	1.05	0.00426683
33	32.9978	940245	203722303	6173815	6593815	-1.51	-5.29	0.53	0.00426634
33	33.5702	960434	207256194	6173815	6593815	1.33	-4.02	2.02	0.0043361
33	33.8063	946867	208721031	6174028	6594028	2.34	-3.21	2.53	0.00436843
32	34.5743	973513	213465885	6174120	6594120	3.29	-0.46	4.55	0.00436737
32	34.0919	945705	210494591	6174329	6594329	0.13	-1.27	2.82	0.00430413
32	33.7838	892543	208595408	6174421	6594421	-1.39	-1.89	1.62	0.00432512
32	33.877	915832	209177136	6174606	6594606	-1.04	-1.08	1.65	0.00429754
32	32.8911	924284	203094921	6174768	6594768	-2.31	-3.45	-1.51	0.00419472
